	"Agriculture, forestry, and fisheries"	Ceramics and stone products manufacturing	Chemical industry (including petroleum and coal products)	Construction industry	Food and beverage manufacturing	"Iron, non-ferrous, and metal products manufacturing"	Machinery manufacturing	Mining and others	"Plastic, rubber, and leather products manufacturing"	Printing and related industries	"Pulp, paper, and paper products manufacturing"	Textile industry	Wood products and furniture manufacturing	Other manufacturing		energy_consumption[Thousand tonnes of oil equivalent]
France	2015.92	9356.671	19662.245	5013.034	97106.585	115000	62181.324	366.547	26795.76	4907.018	12832.385	1521.725	9768.952	177000		23957.107
Netherlands	498.581	2565.73	2009.922	612.211	19701.652	21893.148	15530.245	178.372	5228.766	1324.107	2165.219	237.909	1793.179	45048.831		11636.499
Germany	1969.262	16584.092	25765.576	1593.699	130000	247000	179000	1959.731	54605.901	8009.663	17836.465	3016.911	13810.958	334000		50065.859
Italy	1381.125	30266.035	23559.768	5147.618	92854.627	258000	89703.115	1823.881	46223.118	5825.441	24118.346	13141.934	19804.015	233000		23502.312
Ireland	245.947	770.08	367.087	501.203	8571.203	5303.777	6129.891	27.759	839.197	488.037	290.4	143.435	977.345	44549.209		2060.134
Denmark	1532.06955	2423.434756	2163.964488	780.017983	14645.78923	18554.34713	8983.060842	132.820197	2835.744404	43.96489	1225.10596	429.642727	2247.624177	34210.39712		2226.657
Greece	99.716	1150.008	1624.383	34.552	4034.476	4582.522	312.035	27.249	825.763	242.939	1066.998	171.72	397.62	10918.524		2463.422
Portugal	886.962	4570.237	2041.742	163.673	9386.962	12367.785	9738.74	28.592	3870.705	636.513	2712.118	1524.349	2055.192	20006.935		4312.786
Spain	5433.667	14989.305	16860.069	1629.47	109000	95004.058	44824.069	414.369	26249.407	2176.461	12527.014	2352.669	10243.49	131000		18476.512
Belgium	471.484	4782.88	4505.346	722.592	18101.1	20473.867	4389.233	202.228	7008.346	876.232	2690.67	414.332	2031.01	57699.909		9274.392
Iceland	1537.547273	0	206.544773	0	547.806142	1931.332482	0	0	0	0	0	0	0	209.545182		1389.684
Norway	1930.34294	877.060604	811.205447	487.170017	11300.40657	3850.89962	1464.555003	664.808137	630.335849	58.889959	285.616466	0	247.716373	15351.07074		6094.071
Sweden	66.318169	1122.357477	1650.682737	1746.314946	5246.315732	14455.34437	13310.76158	174.895024	2558.085516	112.229849	4931.766821	74.321968	2596.41783	38748.3987		11349.805
Finland	289.128	1679.359	7631.925	1140.302	7669.781	24869.309	9569.227	21.917	2298.91	474.85	7223.018	187.645	4972.148	24352.55		9292.601
Austria	200.131	2083.288	1380.615	766.375	17737.265	28997.55	15407.516	23.405	5485.827	1025.826	2173.426	903.385	4244.196	23089.171		6941.117
Estonia	175.063	494.361	361.089	717.448	1683.033	3028.498	1156.591	58.245	487.89	91.536	199.955	86.21	1841.001	4104.403		337.166
Latvia	48.994	62.753	62.829	65.678	947.453	385.695	123.812	0	60.72	152.613	92.855	0	1476.74	580.007		921.406
Lithuania	423.989	775.372	497.541	207.626	3843.176	4594.756	1424.828	7.839	1403.74	165.593	697.863	253.081	3207.882	7754.142		898.67
Poland	981.862837	8156.052839	6133.06715	1210.901586	41533.8985	39902.54294	21702.59841	119.970937	16726.65082	1518.876266	5686.751208	642.016514	8880.399826	69606.1026		13723.846
Czechia	72.775412	3158.506454	1879.95376	526.841527	11580.29912	31916.11903	29651.5994	55.817114	8873.396808	716.020413	3091.540366	992.084942	2235.590566	48352.47717		5961.917
Slovakia	11.631	916.314	71.025	174.192	2413.372	17717.681	7086.7	8.511	2373.303	202.062	439.085	32.168	628.45	15980.169		2869.479
Hungary	56.619596	1165.915179	1562.678604	284.228485	9910.912941	25491.34844	13813.2116	25.808461	3439.72477	493.410579	623.092318	93.959647	642.029623	38500.65063		3994.577
Romania	82.216224	2138.871773	1046.578525	182.33954	11221.05808	10437.61113	5144.26223	495.261487	2711.577822	548.339499	787.443143	534.334608	3274.234946	23586.3598		4958
Bulgaria	46.849371	884.64567	1014.538809	165.556805	3778.010019	3998.684934	1164.767354	0	926.614683	331.206667	583.526433	117.068719	445.715312	6040.785868		2454.736
Albania	28.586278	218.248034	10.513447	9.782004	390.275515	347.546959	3.44239	0	21.419725	9.729476	70.120644	15.078006	39.219007	342.819732		403.808
Slovenia	0	146.87	96.058	109.708	851.148	2738.052	1068.668	13.456	599.702	231.295	312.289	4.413	428.951	1905.128		1073.341
Croatia	96.131	888.231	444.057	110.063	3803.07	3188.661	983.394	103.397	1100.518	824.016	669.644	186.045	1017.612	6091.874		1173.888
North Macedonia	0	16.636447	36.456114	0	573.917531	233.479068	11.87413	0	52.575169	23.872532	48.60265	2.307829	91.068296	1213.578067		329.87
Montenegro	0.302	4.724	0.347	9.244	227.477	124.247	0	0	4.571	2.965	4.571	0	44.705	211.811		85.137
Serbia	14.740358	852.133733	809.925156	44.969634	3262.876132	3988.114755	1388.542964	0	1045.489685	161.917685	930.032042	47.192968	455.61791	8067.515077		2230.487
